Name,Notes,3,4,5,6,7
Date ▲,Station Number,Station Name,State,County,Frost Coverage,View
10/21/2022 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  50%-75% coverage   , View
10/20/2022 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  50%-75% coverage   , View
12/7/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
3/20/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  50%-75% coverage   , View
3/10/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
3/9/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  50%-75% coverage   , View
3/8/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
3/6/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
3/5/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
3/4/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  25%-50% coverage   , View
2/25/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/24/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  50%-75% coverage   , View
2/23/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
2/22/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/21/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
2/20/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
2/19/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/18/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/17/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/16/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/15/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/14/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/13/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/12/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/11/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/10/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/9/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/8/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
2/7/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/6/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
2/5/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/4/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
2/3/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/2/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/1/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
1/31/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
1/30/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
1/29/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Less than 25%   , View
1/28/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
1/27/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
1/26/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
1/25/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
1/24/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  50%-75% coverage   , View
1/23/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
1/22/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
1/21/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
1/20/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
1/19/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
1/18/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
1/16/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
1/15/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
1/14/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/13/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
1/12/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/11/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Less than 25%  
			","	
				 
			"
1/10/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
1/9/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
1/8/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/7/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
1/6/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/5/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
1/4/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/3/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/2/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/1/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/31/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/30/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
12/29/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Less than 25%  
			","	
				 
			"
12/28/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
12/27/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
12/26/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  50%-75% coverage  
			","	
				 
			"
12/25/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/24/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/23/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
12/22/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
12/21/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/20/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/19/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
12/18/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/17/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/16/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/15/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
12/14/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/13/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/12/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/11/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  50%-75% coverage  
			","	
				 
			"
12/10/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
12/9/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
12/8/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
12/7/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/6/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
12/5/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
12/4/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
11/2/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
5/10/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  50%-75% coverage  
			","	
				 
			"
4/16/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  50%-75% coverage  
			","	
				 
			"
3/10/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
3/9/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
3/8/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
2/28/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  50%-75% coverage  
			","	
				 "
2/27/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
2/26/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
2/20/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
2/19/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
2/12/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
2/11/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
2/10/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
2/9/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
2/6/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
2/5/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
2/4/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/22/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  50%-75% coverage  
			","	
				 
			"
1/18/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/17/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/14/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/13/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/12/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/11/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/10/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/9/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
1/8/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
1/7/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/6/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
1/5/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  25%-50% coverage  
			","	
				 
			"
1/4/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/3/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/2/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
1/1/2020 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  Greater than 75% coverage  
			","	
				 
			"
12/18/2019 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
11/6/2019 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
11/5/2019 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
11/4/2019 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  50%-75% coverage  
			","	
				 
			"
11/3/2019 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  25%-50% coverage  
			","	
				 
			"
11/2/2019 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 
			"
11/1/2019 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,"
				  No frost  
			","	
				 "