Observation Key,start,stop,Context,NOTES,B1,B1 notes,B1 count,B2,B2 notes,B2 count,B3,B3 notes,B4,B4 notes,B3 count,B4 count,created
4,2020-02-25 08:08,2020-02-25 08:08,"""Going out for feeder, rain gauge""",,MODO,,3,AMGO,dull,1,,,,,,,2020-02-25 08:45
5,2020-02-25 08:55,2020-02-25 09:06,From front room desk,,RBWO,"8:59 to 9:00 Tulip pop then feeder, while squirrel scampered in background",1,CACH,,1,Squirrel,Hanging out near NW garden corner,PIWA,,,,2020-02-25 09:06
7,2020-02-25 09:12,2020-02-25 09:15,From front room desk,,CACH,,2,,,,,,,,,,2020-02-25 09:28
8,2020-02-25 09:29,,From front room desk,"Repeating of ""twowee twowee twowee twoweet""",AMGO,"dull, one less dull",2,NOCA,female under feeder,2,CACH,,,dark headed junco in azalea,1,,2020-02-25 09:34
9,2020-02-25 09:51,,From front room desk,,DOWO,,,CACH,,2,,,,,,,2020-02-25 09:53
10,2020-02-25 15:01,,,,RBWO,at feeder,1,Squirrel,right underneath feeder,,AMGO,"dull, waiting in Tulip poplar",,three juncos in azalea,1,3,2020-02-25 15:03
11,2020-02-26 08:14,,,,RBWO,,1,Squirrel,under feeder,1,AMGO,waiting in apple tree for RBWO to finish?,,,3,,2020-02-26 08:16
12,2020-02-26 08:20,,,all as soon as RBWO left,"""
TUTI
""",,,AMGO,,,PIWA,,CACH,,,,2020-02-26 08:21
13,2020-02-26 08:48,,From front room desk,,DOWO,,1,"""
TUTI
""",,1,NOCA,female on ground,"""
DEJU
""",on ground,1,2,2020-02-26 08:51
14,2020-02-26 08:51,2020-02-26 08:59,From front room desk,Turning on SAD light so closing out observations.,"""
TUTI
""",,2,CACH,,3,RBWO,,,,1,,2020-02-26 08:59
15,2020-02-26 09:45,,From front room desk,,"""
EABL
"",EABL♀,EABL♂",in tulip poplar,,CACH,,,NOCA,MALe & female,AMGO,dull,2,,2020-02-26 09:47
16,2020-02-26 09:47,,,,"""
DEJU
""","in azalea, inder feeder",1,MODO,under feeder,,CACH,,,,1,,2020-02-26 09:49
17,2020-02-27 08:25,,,,DOWO,,,NOCA,"female in azalea, male under feeder",2,"""
CARW
""",under feeder,"""
DEJU
""",in azalea,,,2020-02-27 08:28
18,2020-02-27 08:28,,,,CACH,,2,AMGO,dull,3,"""
TUTI
""",,PIWA,,,1,2020-02-27 09:45
19,2020-02-27 10:06,2020-02-27 11:26,From front room desk,While chatting with Karen T.,"""
TUTI
""",,2,CACH,,,,,,,,,2020-02-27 11:26
20,2020-03-03 08:25,,From front room desk,Sun lamp on,DOWO,,1,"""
TUTI
""",,2,RBWO,,MODO,below feeder,1,1,2020-03-03 08:29
21,2020-03-03 08:37,2020-03-03 08:45,From front room desk,,CACH,,,RBWO,,,MODO,,,,2,,2020-03-03 10:25
22,2020-03-10 09:22,2020-03-10 10:41,From front room desk,58°F & overcast with SAD light on at start of obsv. Turnd off SAD light just before end of obsv.,"""
CARW
""",,2,"""
TUTI
""",,,DOWO,,CACH,,2,1,2020-03-10 10:41