ID,Seed pack,Species,Usage notes,Count,total,area (sqft),Color,life
1,CRESTA FLAME French Marigold,Tagetes patula ,,1,$3.00,44,flame/mango/peach,annual
2,TOKAJER blanket flower,Gaillardia aristata,,1,$3.00,113,flame/mango/peach,peren
3,BER­GAMO Bee Balm Seeds,Monarda X Citriodora ,,1,$3.50,28,purple,peren
4,"WONDER­LAND DEEP ROSE Alyssum,WONDER­LAND DEEP PURPLE Alyssum copy","Lobularia maritima , Lobularia maritima ",,1,$1.00,0,"magenta/burgundy, magenta/burgundy","annual, annual"
5,ZAHARA DOUBLE STRAW­BERRY Zinnia,Zinnia marylandica,,1,$7.78,25,magenta/burgundy,annual
6,AZTEC BUR­GUNDY BI­COLOUR,Zinnia haageana ,,1,$3.00,7,magenta/burgundy,annual
7,APRICOT SPRITE,Agastache aurantiaca ,,1,$3.00,27,flame/mango/peach,peren
8,TRI­ANGLE FLASH­BACK ,Calendula officinalis ,,1,$3.50,17,"flame/mango/peach, pink, magenta/burgundy",annual
9,RUBY RUBY Rudbeckia,Rudbeckia hirta ,,1,$3.50,9,magenta/burgundy,annual
10,,,,,$0.00,0,,